CódigoTransação,DataVenda,Mes,Produto,Status,FormaPagamento,Parcelas,ValorParcela,ValorVenda,ValorComissão,ValorTotalVenda,TipoCheckout,Vendedor
PPCPMTB5DEJ1M2,2024-02-07 05:47:15,2024-02,Produto principal,Expirado,Pix,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DEJ414,2024-02-07 06:24:31,2024-02,Produto principal,Expirado,Pix,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DEJ4CE,2024-02-07 06:29:20,2024-02,Produto principal,Aprovado,Cartão de Crédito,12,9.74,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DEJ4CM,2024-02-07 06:29:28,2024-02,Order bump 1,Aprovado,Cartão de Crédito,1,9.99,9.99,8.5,"9,99",orderbump,Produtor
PPCPMTB5DEJ542,2024-02-07 06:35:35,2024-02,Produto principal,Expirado,Pix,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DEJ5JA,2024-02-07 06:42:16,2024-02,Produto principal,Expirado,Pix,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DEJ6BH,2024-02-07 06:50:08,2024-02,Produto principal,Aprovado,Pix,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DEJ6BK,2024-02-07 06:50:08,2024-02,Order bump 1,Aprovado,Pix,1,9.99,9.99,8.5,"9,99",orderbump,Produtor
PPCPMTB5DEJ6BM,2024-02-07 06:50:09,2024-02,Order bump 2,Aprovado,Pix,1,9.99,9.99,8.5,"9,99",orderbump,Produtor
PPCPMTB5DEJ6IG,2024-02-07 06:53:03,2024-02,Produto principal,Aprovado,Pix,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DEJ7MI,2024-02-07 07:02:01,2024-02,Produto principal,Aprovado,Cartão de Crédito,12,9.74,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DEJ7PP,2024-02-07 07:03:14,2024-02,Produto principal,Expirado,Pix,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DEJ9E9,2024-02-07 07:16:17,2024-02,Produto principal,Expirado,Pix,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DEJAAH,2024-02-07 07:22:28,2024-02,Produto principal,Aprovado,Pix,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DEJCCE,2024-02-07 07:36:38,2024-02,Produto principal,Aprovado,Pix,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DEJDHD,2024-02-07 07:44:20,2024-02,Produto principal,Expirado,Pix,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DEJDMD,2024-02-07 07:45:43,2024-02,Order bump 1,Aprovado,Pix,1,9.99,9.99,8.5,"9,99",orderbump,Produtor
PPCPMTB5DEJDMA,2024-02-07 07:45:43,2024-02,Produto principal,Aprovado,Pix,1,67.0,67.0,62.72,"67,00",default,Produtor
PPCPMTB5DEJDMF,2024-02-07 07:45:44,2024-02,Order bump 2,Aprovado,Pix,1,9.99,9.99,8.5,"9,99",orderbump,Produtor
PPCPMTB5DEJEPO,2024-02-07 07:53:06,2024-02,Produto principal,Rejeitado,Cartão de Crédito,12,9.74,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DEJFIP,2024-02-07 07:58:03,2024-02,Produto principal,Aprovado,Pix,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DEJG15,2024-02-07 07:59:45,2024-02,Order bump 2,Expirado,Pix,1,9.99,9.99,8.5,"9,99",orderbump,Produtor
PPCPMTB5DEJG13,2024-02-07 07:59:45,2024-02,Produto principal,Expirado,Pix,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DEJGCP,2024-02-07 08:01:37,2024-02,Produto principal,Expirado,Pix,1,47.0,47.0,43.7,"47,00",default,Produtor
PPCPMTB5DEJH53,2024-02-07 08:06:17,2024-02,Produto principal,Expirado,Pix,1,67.0,67.0,62.72,"67,00",default,Produtor
PPCPMTB5DEJH55,2024-02-07 08:06:18,2024-02,Order bump 1,Expirado,Pix,1,9.99,9.99,8.5,"9,99",orderbump,Produtor
PPCPMTB5DEJIG5,2024-02-07 08:14:19,2024-02,Produto principal,Aprovado,Pix,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DEJM7C,2024-02-07 08:33:04,2024-02,Produto principal,Aprovado,Pix,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DEJMDN,2024-02-07 08:34:10,2024-02,Produto principal,Expirado,Pix,1,0.0,47.0,43.7,"47,00",default,Produtor
PPCPMTB5DEJN75,2024-02-07 08:38:36,2024-02,Order bump 1,Aprovado,Pix,1,9.99,9.99,8.5,"9,99",orderbump,Produtor
PPCPMTB5DEJN72,2024-02-07 08:38:36,2024-02,Produto principal,Aprovado,Pix,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DEJN76,2024-02-07 08:38:37,2024-02,Order bump 2,Aprovado,Pix,1,9.99,9.99,8.5,"9,99",orderbump,Produtor
PPCPMTB5DEJN8F,2024-02-07 08:38:57,2024-02,Produto principal,Expirado,Pix,1,67.0,67.0,62.72,"67,00",default,Produtor
PPCPMTB5DEJPDM,2024-02-07 08:50:51,2024-02,Produto principal,Aprovado,Pix,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DEJPE0,2024-02-07 08:50:52,2024-02,Order bump 2,Aprovado,Pix,1,9.99,9.99,8.5,"9,99",orderbump,Produtor
PPCPMTB5DEK0CJ,2024-02-07 08:55:58,2024-02,Produto principal,Aprovado,Pix,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DEK0F2,2024-02-07 08:56:32,2024-02,Produto principal,Aprovado,Pix,1,47.0,47.0,43.7,"47,00",default,Produtor
PPCPMTB5DEK0II,2024-02-07 08:57:16,2024-02,Produto principal,Expirado,Pix,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DEK0JE,2024-02-07 08:57:23,2024-02,Order bump 1,Expirado,Pix,1,9.99,9.99,8.5,"9,99",orderbump,Produtor
PPCPMTB5DEK0J6,2024-02-07 08:57:23,2024-02,Produto principal,Expirado,Pix,1,47.0,47.0,43.7,"47,00",default,Produtor
PPCPMTB5DEK0JF,2024-02-07 08:57:24,2024-02,Order bump 2,Expirado,Pix,1,9.99,9.99,8.5,"9,99",orderbump,Produtor
PPCPMTB5DEK0MG,2024-02-07 08:58:03,2024-02,Produto principal,Aprovado,Pix,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DEK3EA,2024-02-07 09:05:36,2024-02,Produto principal,Expirado,Pix,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DEK3L8,2024-02-07 09:06:15,2024-02,Produto principal,Aprovado,Pix,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DEK426,2024-02-07 09:06:34,2024-02,Produto principal,Aprovado,Pix,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DEK435,2024-02-07 09:06:35,2024-02,Order bump 1,Aprovado,Pix,1,9.99,9.99,8.5,"9,99",orderbump,Produtor
PPCPMTB5DEK5BF,2024-02-07 09:09:15,2024-02,Produto principal,Aprovado,Pix,1,47.0,47.0,43.7,"47,00",default,Produtor
PPCPMTB5DEK70H,2024-02-07 09:12:16,2024-02,Produto principal,Expirado,Pix,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DEK7D7,2024-02-07 09:14:07,2024-02,Produto principal,Aprovado,Pix,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DEK7DC,2024-02-07 09:14:08,2024-02,Order bump 1,Aprovado,Pix,1,9.99,9.99,8.5,"9,99",orderbump,Produtor
PPCPMTB5DEK7GG,2024-02-07 09:14:46,2024-02,Produto principal,Expirado,Pix,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DEK7KP,2024-02-07 09:15:51,2024-02,Produto principal,Aprovado,Pix,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DEK9H6,2024-02-07 09:19:51,2024-02,Produto principal,Aprovado,Pix,1,67.0,67.0,62.72,"67,00",default,Produtor
PPCPMTB5DEK9H8,2024-02-07 09:19:52,2024-02,Order bump 1,Aprovado,Pix,1,9.99,9.99,8.5,"9,99",orderbump,Produtor
PPCPMTB5DEK9HA,2024-02-07 09:19:52,2024-02,Order bump 2,Aprovado,Pix,1,9.99,9.99,8.5,"9,99",orderbump,Produtor
PPCPMTB5DEKA9K,2024-02-07 09:21:35,2024-02,Produto principal,Expirado,Pix,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DEKABG,2024-02-07 09:21:36,2024-02,Order bump 2,Expirado,Pix,1,9.99,9.99,8.5,"9,99",orderbump,Produtor
PPCPMTB5DEKAB3,2024-02-07 09:21:36,2024-02,Order bump 1,Expirado,Pix,1,9.99,9.99,8.5,"9,99",orderbump,Produtor
PPCPMTB5DEKFDE,2024-02-07 09:33:32,2024-02,Produto principal,Aprovado,Cartão de Crédito,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DEKFH9,2024-02-07 09:34:05,2024-02,Produto principal,Expirado,Pix,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DEKFK8,2024-02-07 09:34:36,2024-02,Produto principal,Expirado,Pix,1,47.0,47.0,43.7,"47,00",default,Produtor
PPCPMTB5DEKFKH,2024-02-07 09:34:37,2024-02,Order bump 1,Expirado,Pix,1,9.99,9.99,8.5,"9,99",orderbump,Produtor
PPCPMTB5DEKFP2,2024-02-07 09:35:32,2024-02,Produto principal,Aprovado,Pix,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DEKIPN,2024-02-07 09:41:55,2024-02,Produto principal,Aprovado,Pix,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DEKJ03,2024-02-07 09:41:56,2024-02,Order bump 1,Aprovado,Pix,1,9.99,9.99,8.5,"9,99",orderbump,Produtor
PPCPMTB5DEKJGI,2024-02-07 09:43:42,2024-02,Produto principal,Expirado,Pix,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DEKJIG,2024-02-07 09:44:13,2024-02,Produto principal,Aprovado,Pix,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DEKK7B,2024-02-07 09:46:13,2024-02,Produto principal,Expirado,Pix,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DEKKNP,2024-02-07 09:46:47,2024-02,Produto principal,Expirado,Pix,1,27.0,27.0,24.68,"27,00",default,Produtor
PPCPMTB5DEKMEJ,2024-02-07 09:51:38,2024-02,Order bump 2,Expirado,Pix,1,9.99,9.99,8.5,"9,99",orderbump,Produtor
PPCPMTB5DEKME0,2024-02-07 09:51:38,2024-02,Produto principal,Expirado,Pix,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DEKNK2,2024-02-07 09:54:38,2024-02,Produto principal,Aprovado,Pix,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DEKNKB,2024-02-07 09:54:38,2024-02,Order bump 2,Aprovado,Pix,1,9.99,9.99,8.5,"9,99",orderbump,Produtor
PPCPMTB5DEKOGA,2024-02-07 09:57:15,2024-02,Order bump 1,Expirado,Pix,1,9.99,9.99,8.5,"9,99",orderbump,Produtor
PPCPMTB5DEKOFN,2024-02-07 09:57:15,2024-02,Produto principal,Expirado,Pix,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DEKOGH,2024-02-07 09:57:16,2024-02,Order bump 2,Expirado,Pix,1,9.99,9.99,8.5,"9,99",orderbump,Produtor
PPCPMTB5DEL0CK,2024-02-07 10:01:49,2024-02,Produto principal,Aprovado,Pix,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DEL10C,2024-02-07 10:03:06,2024-02,Produto principal,Aprovado,Pix,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DEL28B,2024-02-07 10:06:14,2024-02,Order bump 1,Expirado,Pix,1,9.99,9.99,8.5,"9,99",orderbump,Produtor
PPCPMTB5DEL287,2024-02-07 10:06:14,2024-02,Produto principal,Expirado,Pix,1,47.0,47.0,43.7,"47,00",default,Produtor
PPCPMTB5DEL28H,2024-02-07 10:06:15,2024-02,Order bump 2,Expirado,Pix,1,9.99,9.99,8.5,"9,99",orderbump,Produtor
PPCPMTB5DEL36B,2024-02-07 10:08:11,2024-02,Produto principal,Aprovado,Pix,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DEL4K4,2024-02-07 10:11:58,2024-02,Produto principal,Rejeitado,Cartão de Crédito,12,9.74,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DEL708,2024-02-07 10:17:16,2024-02,Order bump 2,Expirado,Pix,1,9.99,9.99,8.5,"9,99",orderbump,Produtor
PPCPMTB5DEL6PM,2024-02-07 10:17:16,2024-02,Produto principal,Expirado,Pix,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DEL847,2024-02-07 10:19:47,2024-02,Produto principal,Aprovado,Cartão de Crédito,3,34.29,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DEL855,2024-02-07 10:19:56,2024-02,Order bump 2,Aprovado,Cartão de Crédito,1,9.99,9.99,8.5,"9,99",orderbump,Produtor
PPCPMTB5DELAOE,2024-02-07 10:26:55,2024-02,Produto principal,Aprovado,Pix,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DELDEA,2024-02-07 10:32:48,2024-02,Produto principal,Expirado,Pix,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DELE5H,2024-02-07 10:34:24,2024-02,Produto principal,Expirado,Pix,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DELFFJ,2024-02-07 10:37:39,2024-02,Produto principal,Aprovado,Cartão de Crédito,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DELFH8,2024-02-07 10:37:42,2024-02,Order bump 2,Aprovado,Cartão de Crédito,1,9.99,9.99,8.5,"9,99",orderbump,Produtor
PPCPMTB5DELG62,2024-02-07 10:39:41,2024-02,Produto principal,Aprovado,Pix,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DELGP0,2024-02-07 10:41:49,2024-02,Produto principal,Expirado,Pix,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DELGPC,2024-02-07 10:41:55,2024-02,Produto principal,Aprovado,Pix,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DELH49,2024-02-07 10:42:56,2024-02,Produto principal,Aprovado,Pix,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DELHEK,2024-02-07 10:45:07,2024-02,Produto principal,Aprovado,Pix,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DELHGH,2024-02-07 10:45:23,2024-02,Produto principal,Expirado,Pix,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DELHJC,2024-02-07 10:45:51,2024-02,Produto principal,Aprovado,Pix,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DELI82,2024-02-07 10:46:56,2024-02,Produto principal,Aprovado,Pix,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DELI87,2024-02-07 10:46:57,2024-02,Order bump 1,Aprovado,Pix,1,9.99,9.99,8.5,"9,99",orderbump,Produtor
PPCPMTB5DELILH,2024-02-07 10:49:01,2024-02,Produto principal,Aprovado,Pix,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DELJP8,2024-02-07 10:53:05,2024-02,Produto principal,Expirado,Pix,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DELJPI,2024-02-07 10:53:06,2024-02,Order bump 1,Aprovado,Pix,1,9.99,9.99,8.5,"9,99",orderbump,Produtor
PPCPMTB5DELJPD,2024-02-07 10:53:06,2024-02,Produto principal,Aprovado,Pix,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DELK7B,2024-02-07 10:54:42,2024-02,Produto principal,Expirado,Pix,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DELK87,2024-02-07 10:54:53,2024-02,Produto principal,Aprovado,Pix,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DELK9N,2024-02-07 10:55:07,2024-02,Produto principal,Expirado,Pix,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DELKA2,2024-02-07 10:55:07,2024-02,Order bump 1,Expirado,Pix,1,9.99,9.99,8.5,"9,99",orderbump,Produtor
PPCPMTB5DELKA4,2024-02-07 10:55:08,2024-02,Order bump 2,Expirado,Pix,1,9.99,9.99,8.5,"9,99",orderbump,Produtor
PPCPMTB5DELKP7,2024-02-07 10:56:37,2024-02,Produto principal,Aprovado,Pix,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DELKPA,2024-02-07 10:56:38,2024-02,Order bump 2,Aprovado,Pix,1,9.99,9.99,8.5,"9,99",orderbump,Produtor
PPCPMTB5DELMD8,2024-02-07 11:02:10,2024-02,Produto principal,Aprovado,Pix,1,47.0,47.0,43.7,"47,00",default,Produtor
PPCPMTB5DELMMD,2024-02-07 11:03:44,2024-02,Order bump 2,Expirado,Pix,1,9.99,9.99,8.5,"9,99",orderbump,Produtor
PPCPMTB5DELMM7,2024-02-07 11:03:44,2024-02,Produto principal,Expirado,Pix,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DELN32,2024-02-07 11:04:57,2024-02,Produto principal,Aprovado,Pix,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DELNM6,2024-02-07 11:06:47,2024-02,Produto principal,Aprovado,Cartão de Crédito,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DELPDM,2024-02-07 11:13:16,2024-02,Produto principal,Expirado,Pix,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DELPH4,2024-02-07 11:14:05,2024-02,Produto principal,Aprovado,Cartão de Crédito,12,9.74,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DEM0KJ,2024-02-07 11:17:53,2024-02,Produto principal,Expirado,Pix,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DEM0KN,2024-02-07 11:17:54,2024-02,Order bump 1,Expirado,Pix,1,9.99,9.99,8.5,"9,99",orderbump,Produtor
PPCPMTB5DEM365,2024-02-07 11:26:58,2024-02,Produto principal,Aprovado,Pix,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DEM36B,2024-02-07 11:26:59,2024-02,Order bump 2,Aprovado,Pix,1,9.99,9.99,8.5,"9,99",orderbump,Produtor
PPCPMTB5DEM3JL,2024-02-07 11:29:24,2024-02,Produto principal,Aprovado,Pix,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DEM3K0,2024-02-07 11:29:25,2024-02,Order bump 1,Aprovado,Pix,1,9.99,9.99,8.5,"9,99",orderbump,Produtor
PPCPMTB5DEM3KG,2024-02-07 11:29:34,2024-02,Produto principal,Expirado,Pix,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DEM3M4,2024-02-07 11:29:56,2024-02,Produto principal,Expirado,Pix,1,47.0,47.0,43.7,"47,00",default,Produtor
PPCPMTB5DEM52A,2024-02-07 11:34:07,2024-02,Produto principal,Expirado,Pix,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DEM62K,2024-02-07 11:37:49,2024-02,Produto principal,Expirado,Pix,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DEM62N,2024-02-07 11:37:50,2024-02,Order bump 1,Expirado,Pix,1,9.99,9.99,8.5,"9,99",orderbump,Produtor
PPCPMTB5DEM631,2024-02-07 11:37:51,2024-02,Order bump 2,Expirado,Pix,1,9.99,9.99,8.5,"9,99",orderbump,Produtor
PPCPMTB5DEM6F6,2024-02-07 11:39:54,2024-02,Produto principal,Aprovado,Pix,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DEM7K4,2024-02-07 11:43:41,2024-02,Produto principal,Rejeitado,Cartão de Crédito,12,9.74,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DEM844,2024-02-07 11:45:27,2024-02,Produto principal,Expirado,Pix,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DEM8HM,2024-02-07 11:47:56,2024-02,Produto principal,Expirado,Pix,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DEMB0I,2024-02-07 11:58:41,2024-02,Produto principal,Expirado,Pix,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DEMDG9,2024-02-07 12:10:21,2024-02,Produto principal,Aprovado,Pix,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DEMDGI,2024-02-07 12:10:22,2024-02,Order bump 2,Aprovado,Pix,1,9.99,9.99,8.5,"9,99",orderbump,Produtor
PPCPMTB5DEMGED,2024-02-07 12:22:59,2024-02,Produto principal,Expirado,Pix,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DEMHN9,2024-02-07 12:28:38,2024-02,Produto principal,Expirado,Pix,1,47.0,47.0,43.7,"47,00",default,Produtor
PPCPMTB5DEMHNG,2024-02-07 12:28:39,2024-02,Order bump 1,Expirado,Pix,1,9.99,9.99,8.5,"9,99",orderbump,Produtor
PPCPMTB5DEMHNM,2024-02-07 12:28:39,2024-02,Order bump 2,Expirado,Pix,1,9.99,9.99,8.5,"9,99",orderbump,Produtor
PPCPMTB5DEMJB8,2024-02-07 12:35:20,2024-02,Produto principal,Expirado,Pix,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DEMJCI,2024-02-07 12:35:30,2024-02,Produto principal,Expirado,Pix,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DEMN03,2024-02-07 12:49:59,2024-02,Produto principal,Aprovado,Pix,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DEMNCI,2024-02-07 12:51:54,2024-02,Produto principal,Aprovado,Pix,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DEN029,2024-02-07 13:02:38,2024-02,Produto principal,Aprovado,Pix,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DEN210,2024-02-07 13:11:04,2024-02,Order bump 1,Aprovado,Pix,1,9.99,9.99,8.5,"9,99",orderbump,Produtor
PPCPMTB5DEN20J,2024-02-07 13:11:04,2024-02,Produto principal,Aprovado,Pix,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DEN26D,2024-02-07 13:11:59,2024-02,Produto principal,Aprovado,Pix,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DEN2OL,2024-02-07 13:15:05,2024-02,Produto principal,Aprovado,Pix,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DEN2P3,2024-02-07 13:15:06,2024-02,Order bump 1,Aprovado,Pix,1,9.99,9.99,8.5,"9,99",orderbump,Produtor
PPCPMTB5DEN35N,2024-02-07 13:16:04,2024-02,Produto principal,Expirado,Pix,1,47.0,47.0,43.7,"47,00",default,Produtor
PPCPMTB5DEN3IJ,2024-02-07 13:18:03,2024-02,Produto principal,Expirado,Pix,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DEN3IP,2024-02-07 13:18:04,2024-02,Order bump 2,Expirado,Pix,1,9.99,9.99,8.5,"9,99",orderbump,Produtor
PPCPMTB5DEN3PO,2024-02-07 13:19:03,2024-02,Order bump 1,Aprovado,Pix,1,9.99,9.99,8.5,"9,99",orderbump,Produtor
PPCPMTB5DEN3PK,2024-02-07 13:19:03,2024-02,Produto principal,Aprovado,Pix,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DEN402,2024-02-07 13:19:04,2024-02,Order bump 2,Aprovado,Pix,1,9.99,9.99,8.5,"9,99",orderbump,Produtor
PPCPMTB5DEN5NC,2024-02-07 13:28:10,2024-02,Produto principal,Aprovado,Pix,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DEN6A6,2024-02-07 13:30:00,2024-02,Produto principal,Expirado,Pix,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DEN6AD,2024-02-07 13:30:01,2024-02,Order bump 1,Expirado,Pix,1,9.99,9.99,8.5,"9,99",orderbump,Produtor
PPCPMTB5DEN7GB,2024-02-07 13:35:12,2024-02,Produto principal,Aprovado,Pix,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DEN8HO,2024-02-07 13:39:32,2024-02,Produto principal,Aprovado,Pix,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DEN9KD,2024-02-07 13:43:57,2024-02,Order bump 1,Aprovado,Pix,1,9.99,9.99,8.5,"9,99",orderbump,Produtor
PPCPMTB5DEN9K1,2024-02-07 13:43:57,2024-02,Produto principal,Aprovado,Pix,1,47.0,47.0,43.7,"47,00",default,Produtor
PPCPMTB5DEN9KG,2024-02-07 13:43:58,2024-02,Order bump 2,Aprovado,Pix,1,9.99,9.99,8.5,"9,99",orderbump,Produtor
PPCPMTB5DENAL7,2024-02-07 13:48:18,2024-02,Produto principal,Expirado,Pix,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DENC2O,2024-02-07 13:53:28,2024-02,Produto principal,Expirado,Pix,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DENE6K,2024-02-07 14:02:45,2024-02,Produto principal,Aprovado,Pix,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DENE6P,2024-02-07 14:02:45,2024-02,Order bump 2,Aprovado,Pix,1,9.99,9.99,8.5,"9,99",orderbump,Produtor
PPCPMTB5DENFGM,2024-02-07 14:09:10,2024-02,Produto principal,Aprovado,Pix,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DENH6H,2024-02-07 14:16:21,2024-02,Produto principal,Expirado,Pix,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DENI31,2024-02-07 14:20:29,2024-02,Produto principal,Expirado,Pix,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DENJ3K,2024-02-07 14:25:23,2024-02,Produto principal,Aprovado,Pix,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DENJ7F,2024-02-07 14:26:10,2024-02,Produto principal,Expirado,Pix,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DENKDG,2024-02-07 14:32:24,2024-02,Produto principal,Expirado,Pix,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DENM24,2024-02-07 14:39:31,2024-02,Produto principal,Expirado,Pix,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DENM2A,2024-02-07 14:39:32,2024-02,Order bump 1,Expirado,Pix,1,9.99,9.99,8.5,"9,99",orderbump,Produtor
PPCPMTB5DENM2E,2024-02-07 14:39:32,2024-02,Order bump 2,Expirado,Pix,1,9.99,9.99,8.5,"9,99",orderbump,Produtor
PPCPMTB5DENME0,2024-02-07 14:41:46,2024-02,Produto principal,Expirado,Pix,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DENNLG,2024-02-07 14:48:07,2024-02,Produto principal,Expirado,Pix,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DENPB6,2024-02-07 14:56:04,2024-02,Produto principal,Aprovado,Pix,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DEO04I,2024-02-07 14:59:53,2024-02,Produto principal,Aprovado,Pix,1,97.0,97.0,91.25,"97,00",default,Produtor
